ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,HLK-B0512S-2WR3,U1,PWRM-TH_IBXX05S-2WR3,1,HLK-B0512S-2WR3,HI-LINK(海凌科),LCSC,C3029155,2.362
2,FUS213-FDBK6K,J1,USB-B-TH_FUS213-FDBXXK,1,FUS213-FDBK6K,TXGA,LCSC,C456324,0.269
3,Micro USB 5P H,J2,MICRO-USB_MICRO-USB-30,1,-,LCSC,LCSC,C40946,0.082
4,"2 pin, 5mm screw terminal",J3,CONN-TH_2P-P5.08-WJ500V-5.08-2P,1,WJ500V-5.08-02P-14-00A,ReliaPro,LCSC,C138464,0.087
